Code,Name
005930,삼성전자
000660,SK하이닉스
373220,LG에너지솔루션
207940,삼성바이오로직스
005935,삼성전자우
005380,현대차
005490,POSCO홀딩스
000270,기아
035420,NAVER
051910,LG화학
006400,삼성SDI
247540,에코프로비엠
068270,셀트리온
003670,포스코퓨처엠
035720,카카오
028260,삼성물산
012330,현대모비스
105560,KB금융
055550,신한지주
086520,에코프로
066570,LG전자
096770,SK이노베이션
032830,삼성생명
011200,HMM
323410,카카오뱅크
018260,삼성에스디에스
003550,LG
034730,SK
091990,셀트리온헬스케어
086790,하나금융지주
000810,삼성화재
015760,한국전력
450080,에코프로머티
033780,KT&G
138040,메리츠금융지주
009150,삼성전기
329180,HD현대중공업
047050,포스코인터내셔널
022100,포스코DX
017670,SK텔레콤
010130,고려아연
034020,두산에너빌리티
352820,하이브
316140,우리금융지주
024110,기업은행
259960,크래프톤
003490,대한항공
030200,KT
009540,HD한국조선해양
090430,아모레퍼시픽
010950,S-Oil
326030,SK바이오팜
042660,한화오션
086280,현대글로비스
454910,두산로보틱스
066970,엘앤에프
402340,SK스퀘어
001570,금양
010140,삼성중공업
009830,한화솔루션
028300,HLB
011170,롯데케미칼
377300,카카오페이
012450,한화에어로스페이스
042700,한미반도체
307950,현대오토에버
005830,DB손해보험
361610,SK아이이테크놀로지
011070,LG이노텍
302440,SK바이오사이언스
028050,삼성엔지니어링
051900,LG생활건강
161390,한국타이어앤테크놀로지
088980,맥쿼리인프라
036570,엔씨소프트
000100,유한양행
241560,두산밥캣
196170,알테오젠
251270,넷마블
047810,한국항공우주
005070,코스모신소재
097950,CJ제일제당
267250,HD현대
004020,현대제철
271560,오리온
180640,한진칼
006800,미래에셋증권
032640,LG유플러스
034220,LG디스플레이
128940,한미약품
021240,코웨이
005387,현대차2우B
000720,현대건설
403870,HPSP
018880,한온시스템
011780,금호석유
029780,삼성카드
078930,GS
035900,JYP Ent.
068760,셀트리온제약
277810,레인보우로보틱스
035250,강원랜드
016360,삼성증권
011790,SKC
005940,NH투자증권
383220,F&F
071050,한국금융지주
010620,현대미포조선
272210,한화시스템
058470,리노공업
000120,CJ대한통운
006260,LS
267260,HD현대일렉트릭
079550,LIG넥스원
004990,롯데지주
064350,현대로템
003410,쌍용C&E
112610,씨에스윈드
001040,CJ
001450,현대해상
008930,한미사이언스
005385,현대차우
014680,한솔케미칼
417200,LS머트리얼즈
000990,DB하이텍
039490,키움증권
008770,호텔신라
263750,펄어비스
004370,농심
214150,클래시스
007070,GS리테일
088350,한화생명
052690,한전기술
051915,LG화학우
328130,루닛
357780,솔브레인
002790,아모레G
081660,휠라홀딩스
138930,BNK금융지주
009420,한올바이오파마
036460,한국가스공사
012750,에스원
041510,에스엠
282330,BGF리테일
030000,제일기획
010120,LS ELECTRIC
023530,롯데쇼핑
175330,JB금융지주
139480,이마트
293490,카카오게임즈
112040,위메이드
010060,OCI홀딩스
111770,영원무역
005290,동진쎄미켐
002380,KCC
028670,팬오션
020150,롯데에너지머티리얼즈
039030,이오테크닉스
000880,한화
007660,이수페타시스
145020,휴젤
026960,동서
086900,메디톡스
095340,ISC
298050,효성첨단소재
000250,삼천당제약
204320,HL만도
017800,현대엘리베이
047040,대우건설
011210,현대위아
004170,신세계
036930,주성엔지니어링
141080,레고켐바이오
185750,종근당
240810,원익IPS
003230,삼양식품
017860,DS단석
005850,에스엘
042670,HD현대인프라코어
003620,KG모빌리티
035760,CJ ENM
007310,오뚜기
006110,삼아알미늄
298020,효성티앤씨
000080,하이트진로
253450,스튜디오드래곤
051600,한전KPS
006040,동원산업
073240,금호타이어
002710,TCC스틸
298040,효성중공업
004000,롯데정밀화학
000150,두산
393890,더블유씨피
005420,코스모화학
336260,두산퓨얼셀
121600,나노신소재
214370,케어젠
000240,한국앤컴퍼니
006280,녹십자
145720,덴티움
067310,하나마이크론
139130,DGB금융지주
108320,LX세미콘
137310,에스디바이오센서
375500,DL이앤씨
005300,롯데칠성
192820,코스맥스
018670,SK가스
078600,대주전자재료
248070,솔루엠
069620,대웅제약
353200,대덕전자
365340,성일하이텍
001740,SK네트웍스
004800,효성
064760,티씨케이
006360,GS건설
009240,한샘
348370,엔켐
009520,포스코엠텍
195940,HK이노엔
222800,심텍
001440,대한전선
025900,동화기업
034230,파라다이스
120110,코오롱인더
140860,파크시스템스
069960,현대백화점
161890,한국콜마
237690,에스티팜
003690,코리안리
298380,에이비엘바이오
096530,씨젠
067630,HLB생명과학
280360,롯데웰푸드
098460,고영
003090,대웅
285130,SK케미칼
001120,LX인터내셔널
137400,피엔티
281740,레이크머티리얼즈
085660,차바이오텍
140410,메지온
214450,파마리서치
100090,SK오션플랜트
093370,후성
440110,파두
278280,천보
213420,덕산네오룩스
056190,에스에프에이
065350,신성델타테크
000210,DL
103140,풍산
395400,SK리츠
009970,영원무역홀딩스
383310,에코프로에이치엔
048410,현대바이오
089860,롯데렌탈
014820,동원시스템즈
267270,HD현대건설기계
036540,SFA반도체
166090,하나머티리얼즈
131970,두산테스나
006650,대한유화
009900,명신산업
067160,아프리카TV
003030,세아제강지주
225570,넥슨게임즈
101490,에스앤에스텍
271940,일진하이솔루스
294870,HDC현대산업개발
000670,영풍
122870,와이지엔터테인먼트
084370,유진테크
195870,해성디에스
089590,제주항공
001800,오리온홀딩스
036830,솔브레인홀딩스
420770,기가비스
336370,솔루스첨단소재
310210,보로노이
178920,PI첨단소재
016790,카나리아바이오
039200,오스코텍
457190,이수스페셜티케미컬
300720,한일시멘트
192650,드림텍
012510,더존비즈온
010780,아이에스동서
192080,더블유게임즈
016380,KG스틸
418550,제이오
069260,TKG휴켐스
003380,하림지주
085620,미래에셋생명
001430,세아베스틸지주
119860,커넥트웨이브
372170,윤성에프앤씨
001060,JW중외제약
064550,바이오니아
214320,이노션
336570,원텍
105630,한세실업
039130,하나투어
114090,GKL
456040,OCI
004490,세방전지
020560,아시아나항공
181710,NHN
003850,보령
287410,제이시스메디칼
